Specialist,Diseases_Treated
Anesthesiologists,Pain management; anesthesia during surgery; critical care sedation
Cardiologists,Heart disease; hypertension; arrhythmia; heart failure
Dentists,Tooth decay; gum disease; oral infections
Dermatologists,Skin diseases; acne; eczema; psoriasis; skin cancer
Endocrinologists,Diabetes; thyroid disorders; hormonal imbalances
ENTs,Ear infections; sinusitis; throat disorders; hearing loss
Gastroenterologists,Acid reflux; IBS; liver disease; digestive disorders
GPs/PCPs,Common illnesses; infections; chronic disease management
Gynaecologists,Pregnancy; menstrual disorders; reproductive health
Hematologists,Blood disorders; anemia; leukemia; clotting disorders
"Hospital Admins/Execs,",Healthcare operations; hospital management; policy planning
Lab Managers,Diagnostic testing; pathology operations; lab quality control
Nephrologists,Kidney disease; dialysis; electrolyte imbalance
Neurologists,Stroke; epilepsy; migraines; Parkinson’s disease
Nurses,Patient care; wound care; medication administration
Ophthalmologists,Eye diseases; cataracts; glaucoma; vision disorders
Opticians,Vision correction; eyeglasses; contact lenses
Orthopedists,Bone fractures; arthritis; joint disorders
Pediatricians,Childhood diseases; growth disorders; vaccinations
Pharmacists,Medication dispensing; drug interactions; dosage guidance
Psychiatrists,Depression; anxiety; bipolar disorder; schizophrenia
Radiologists,Disease diagnosis using X-ray; MRI; CT scans
Respiratory Physicians,Asthma; COPD; lung infections
Pulmonologists,Lung diseases; tuberculosis; chronic respiratory failure
Rheumatologists,Arthritis; autoimmune diseases; lupus
Surgeons,Surgical treatment of injuries; tumors; organ disorders
Urologists,Urinary tract infections; kidney stones; prostate disorders
Allergists / Immunologists,Allergies; asthma; immune system disorders
Oncologists,Cancer diagnosis; chemotherapy; radiation therapy
Pathologists,Disease diagnosis through tissue; blood; and biopsy analysis
Infectious Disease Specialists,COVID-19; dengue; tuberculosis; HIV
Geriatricians,Elderly care; dementia; age-related diseases
Neonatologists,Premature babies; newborn intensive care
Pain Management Specialists,Chronic pain; nerve pain; cancer pain
Sports Medicine Physicians,Sports injuries; muscle rehabilitation
Emergency Medicine Physicians,Trauma; acute medical emergencies
Family Medicine Physicians,Preventive care; chronic disease follow-up
Palliative Care Specialists,End-of-life care; pain relief; symptom control
Sleep Medicine Specialists,Sleep apnea; insomnia; sleep disorders
Nuclear Medicine Physicians,Cancer imaging; organ function imaging
Geneticists,Genetic disorders; inherited diseases
Occupational Medicine Physicians,Work-related injuries; occupational diseases
Orthodontists,Misaligned teeth; bite problems
Oral & Maxillofacial Surgeons,Jaw surgery; facial trauma; oral tumors
Periodontists,Gum disease; periodontal infections
Prosthodontists,Dental implants; dentures; restorative dentistry
Endodontists,Root canal treatment; tooth pulp disorders
Clinical Psychologists,Anxiety; depression; behavioral disorders
Counselors / Therapists,Stress management; emotional problems
Child Psychologists,Childhood behavioral disorders; learning issues
Addiction Specialists,Drug addiction; alcohol dependence
Neuropsychologists,Brain injury; cognitive disorders
Medical Laboratory Technologists,Blood tests; diagnostic analysis
Radiologic Technologists,Medical imaging procedures
Sonographers,Ultrasound imaging
Pathology Technicians,Sample processing; lab diagnostics
Biomedical Engineers,Medical equipment maintenance
Physiotherapists,Muscle pain; stroke rehab; mobility issues
Occupational Therapists,Daily living rehabilitation; disability support
Speech & Language Therapists,Speech disorders; swallowing problems
Audiologists,Hearing loss; balance disorders
Prosthetists & Orthotists,Artificial limbs; supportive devices
Vision Therapists,Visual processing disorders
Low Vision Specialists,Vision impairment management
Ocular Oncologists,Eye cancers
Public Health Physicians,Disease prevention; epidemic control
Epidemiologists,Disease outbreak analysis; public health research
Health Inspectors,Food safety; sanitation; public health compliance
Community Health Officers,Primary healthcare outreach; community health
